ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
MMRN2	multimerin 2(MMRN2)	Homo sapiens			GO:0002042~cell migration involved in sprouting angiogenesis,GO:0007155~cell adhesion,GO:0008285~negative regulation of cell proliferation,GO:0030336~negative regulation of cell migration,GO:0030948~negative regulation of vascular endothelial growth factor receptor signaling pathway,GO:0090051~negative regulation of cell migration involved in sprouting angiogenesis,GO:1900426~positive regulation of defense response to bacterium,GO:1903588~negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,GO:1905278~positive regulation of epithelial tube formation,GO:1905332~positive regulation of morphogenesis of an epithelium,	GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0070062~extracellular exosome,GO:1990972~multimerin complex,	GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,	IPR001073:Complement C1q protein,IPR008983:Tumour necrosis factor-like domain,IPR011489:EMI domain,				SM00110:C1Q,	KW-0037~Angiogenesis,	KW-0272~Extracellular matrix,KW-0964~Secreted,		KW-0175~Coiled coil,KW-0732~Signal,			KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,DOMAIN:C1q,DOMAIN:EMI,REGION:Disordered,
MRAS	muscle RAS oncogene homolog(MRAS)	Homo sapiens			GO:0007165~signal transduction,GO:0007265~Ras protein signal transduction,GO:0030036~actin cytoskeleton organization,GO:1990830~cellular response to leukemia inhibitory factor,	GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0019003~GDP binding,GO:0030742~GTP-dependent protein binding,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR020849:Small GTPase superfamily, Ras type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04072:Phospholipase D signaling pathway,hsa04137:Mitophagy - animal,hsa04140:Autophagy - animal,hsa04218:Cellular senescence,hsa04371:Apelin signaling pathway,hsa04625:C-type lectin receptor signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05205:Proteoglycans in cancer,	618499~Noonan syndrome 11,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0225~Disease variant,		KW-0342~GTP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0449~Lipoprotein,KW-0488~Methylation,KW-0636~Prenylation,	LIPID:S-geranylgeranyl cysteine,MOTIF:Effector region,PROPEP:Removed in mature form,
MSC	musculin(MSC)	Homo sapiens	79.B_cell_Activation,		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0003161~cardiac conduction system development,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007519~skeletal muscle tissue development,GO:0014707~branchiomeric skeletal muscle development,GO:0032502~developmental process,GO:0060021~palate development,GO:0060539~diaphragm development,GO:1990830~cellular response to leukemia inhibitory factor,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0046983~protein dimerization activity,GO:1990837~sequence-specific double-stranded DNA binding,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,				SM00353:HLH,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0238~DNA-binding,KW-0678~Repressor,		DOMAIN:bHLH,MOTIF:Nuclear localization signal,REGION:Disordered,
MAG	myelin associated glycoprotein(MAG)	Homo sapiens			GO:0007155~cell adhesion,GO:0010977~negative regulation of neuron projection development,GO:0019226~transmission of nerve impulse,GO:0021762~substantia nigra development,GO:0030517~negative regulation of axon extension,GO:0031103~axon regeneration,GO:0031643~positive regulation of myelination,GO:0032289~central nervous system myelin formation,GO:0043524~negative regulation of neuron apoptotic process,GO:0045665~negative regulation of neuron differentiation,GO:0048711~positive regulation of astrocyte differentiation,GO:0071260~cellular response to mechanical stimulus,GO:0098742~cell-cell adhesion via plasma-membrane adhesion molecules,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0033270~paranode region of axon,GO:0035749~myelin sheath adaxonal region,GO:0043209~myelin sheath,GO:0043218~compact myelin,GO:0043220~Schmidt-Lanterman incisure,GO:0045121~membrane raft,GO:0097453~mesaxon,	GO:0005102~receptor binding,GO:0019901~protein kinase binding,GO:0030246~carbohydrate binding,GO:0033691~sialic acid binding,GO:0042803~protein homodimerization activity,GO:1905576~ganglioside GT1b binding,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,	hsa04514:Cell adhesion molecules,	616680~Spastic paraplegia 75, autosomal recessive,		SM00408:IGc2,SM00409:IG,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0225~Disease variant,KW-0523~Neurodegeneration,KW-0890~Hereditary spastic paraplegia,	KW-0393~Immunoglobulin domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0430~Lectin,KW-0446~Lipid-binding,		KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,CARBOHYD:N-linked (GlcNAc...) asparagine; partial,DOMAIN:Ig-like,DOMAIN:Ig-like C2-type 1,DOMAIN:Ig-like C2-type 2,DOMAIN:Ig-like C2-type 3,DOMAIN:Ig-like C2-type 4,DOMAIN:Ig-like V-type,LIPID:S-palmitoyl cysteine,REGION:Disordered,REGION:Interaction with RTN4R and RTN4RL2,REGION:Required for normal axon myelination in the central nervous system,SITE:Not glycosylated,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
MYT1	myelin transcription factor 1(MYT1)	Homo sapiens		H_cdc25Pathway:cdc25 and chk1 Regulatory Pathway in response to DNA damage,h_g2Pathway:Cell Cycle: G2/M Checkpoint,h_mPRPathway:How Progesterone Initiates the Oocyte Maturation,h_rbPathway:RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage,	GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007399~nervous system development,GO:0030154~cell differentiation,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008270~zinc ion binding,	IPR002515:Zinc finger, C2HC-type,IPR013681:Myelin transcription factor 1,					KW-0221~Differentiation,KW-0524~Neurogenesis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,		KW-0677~Repeat,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0217~Developmental protein,KW-0238~DNA-binding,KW-9996~Developmental protein,		COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Myelin transcription factor 1,REGION:Disordered,ZN_FING:CCHHC-type 1,ZN_FING:CCHHC-type 2,ZN_FING:CCHHC-type 3,ZN_FING:CCHHC-type 4,ZN_FING:CCHHC-type 5,ZN_FING:CCHHC-type 6,ZN_FING:CCHHC-type 7,
MNDA	myeloid cell nuclear differentiation antigen(MNDA)	Homo sapiens			GO:0002218~activation of innate immune response,GO:0006968~cellular defense response,GO:0006974~cellular response to DNA damage stimulus,GO:0030889~negative regulation of B cell proliferation,GO:0032731~positive regulation of interleukin-1 beta production,GO:0035458~cellular response to interferon-beta,GO:0043065~positive regulation of apoptotic process,GO:0050853~B cell receptor signaling pathway,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0016607~nuclear speck,GO:0034399~nuclear periphery,GO:0035578~azurophil granule lumen,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,GO:1904813~ficolin-1-rich granule lumen,	GO:0003690~double-stranded DNA binding,GO:0005515~protein binding,	IPR004020:DAPIN domain,IPR004021:HIN-200/IF120x,IPR011029:Death-like domain,				SM01289:SM01289,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0175~Coiled coil,		KW-0010~Activator,KW-0238~DNA-binding,KW-0678~Repressor,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:HIN-200,DOMAIN:Pyrin,MOTIF:Nuclear localization signal,REGION:Disordered,
MIAT	myocardial infarction associated transcript(MIAT)	Homo sapiens			GO:0001708~cell fate specification,GO:0042742~defense response to bacterium,GO:2000111~positive regulation of macrophage apoptotic process,	GO:0005634~nucleus,	GO:0035198~miRNA binding,			608446~Myocardial infarction, susceptibility to,
MYF6	myogenic factor 6(MYF6)	Homo sapiens			GO:0001756~somitogenesis,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007519~skeletal muscle tissue development,GO:0035914~skeletal muscle cell differentiation,GO:0042693~muscle cell fate commitment,GO:0045663~positive regulation of myoblast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048743~positive regulation of skeletal muscle fiber development,GO:0060415~muscle tissue morphogenesis,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0072686~mitotic spindle,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0046983~protein dimerization activity,GO:0070888~E-box binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR002546:Myogenic basic muscle-specific protein,IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,				SM00353:HLH,SM00520:BASIC,	KW-0221~Differentiation,KW-0517~Myogenesis,	KW-0539~Nucleus,	KW-0225~Disease variant,			KW-0217~Developmental protein,KW-0238~DNA-binding,KW-9996~Developmental protein,		COMPBIAS:Polar residues,DOMAIN:bHLH,REGION:Disordered,
MB	myoglobin(MB)	Homo sapiens			GO:0001666~response to hypoxia,GO:0007507~heart development,GO:0015671~oxygen transport,GO:0043353~enucleate erythrocyte differentiation,GO:0050873~brown fat cell differentiation,GO:0071588~hydrogen peroxide mediated signaling pathway,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0005344~oxygen transporter activity,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0046872~metal ion binding,	IPR000971:Globin,IPR002335:Myoglobin,IPR009050:Globin-like,		620286~Myopathy, sarcoplasmic body,			KW-0561~Oxygen transport,KW-0813~Transport,				KW-0349~Heme,KW-0408~Iron,KW-0479~Metal-binding,	KW-0514~Muscle protein,	KW-0597~Phosphoprotein,	BINDING:distal binding residue,BINDING:proximal binding residue,DOMAIN:Globin family profile,
MYO15A	myosin XVA(MYO15A)	Homo sapiens			GO:0007015~actin filament organization,GO:0007605~sensory perception of sound,GO:0007626~locomotory behavior,GO:0009416~response to light stimulus,GO:0030050~vesicle transport along actin filament,GO:0042472~inner ear morphogenesis,	GO:0005737~cytoplasm,GO:0015629~actin cytoskeleton,GO:0016459~myosin complex,GO:0031982~vesicle,GO:0032420~stereocilium,GO:0070062~extracellular exosome,GO:0098858~actin-based cell projection,	GO:0000146~microfilament motor activity,GO:0003779~actin binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0051015~actin filament binding,	IPR000048:IQ motif, EF-hand binding site,IPR000299:FERM domain,IPR000857:MyTH4 domain,IPR001452:Src homology-3 domain,IPR001609:Myosin head, motor domain,IPR011993:Pleckstrin homology-like domain,IPR019748:FERM central domain,IPR019749:Band 4.1 domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04814:Motor proteins,	600316~Deafness, autosomal recessive 3,		SM00015:IQ,SM00139:MyTH4,SM00242:MYSc,SM00295:B41,SM00326:SH3,	KW-1009~Hearing,	KW-0206~Cytoskeleton,KW-0963~Cytoplasm,KW-0966~Cell projection,	KW-0209~Deafness,KW-0225~Disease variant,KW-1010~Non-syndromic deafness,	KW-0175~Coiled coil,KW-0677~Repeat,KW-0728~SH3 domain,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0009~Actin-binding,KW-0112~Calmodulin-binding,KW-0505~Motor protein,KW-0518~Myosin,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:FERM,DOMAIN:IQ 1,DOMAIN:IQ 2,DOMAIN:IQ 3,DOMAIN:MyTH4,DOMAIN:MyTH4 1,DOMAIN:MyTH4 2,DOMAIN:Myosin motor,DOMAIN:SH3,REGION:Actin-binding,REGION:Disordered,REGION:Neck or regulatory domain,REGION:Tail,
MYH11	myosin heavy chain 11(MYH11)	Homo sapiens			GO:0006939~smooth muscle contraction,GO:0030241~skeletal muscle myosin thick filament assembly,GO:0031032~actomyosin structure organization,GO:0048251~elastic fiber assembly,GO:0055013~cardiac muscle cell development,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005859~muscle myosin complex,GO:0016459~myosin complex,GO:0016460~myosin II complex,GO:0032982~myosin filament,GO:0042470~melanosome,GO:0070062~extracellular exosome,	GO:0000146~microfilament motor activity,GO:0003774~motor activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0008307~structural constituent of muscle,GO:0051015~actin filament binding,	IPR000048:IQ motif, EF-hand binding site,IPR001609:Myosin head, motor domain,IPR002928:Myosin tail,IPR004009:Myosin, N-terminal, SH3-like,IPR008989:Myosin S1 fragment, N-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04270:Vascular smooth muscle contraction,hsa04530:Tight junction,hsa04810:Regulation of actin cytoskeleton,hsa04814:Motor proteins,hsa05130:Pathogenic Escherichia coli infection,	132900~Aortic aneurysm, familial thoracic 4,619350~Visceral myopathy 2,619351~Megacystis-microcolon-intestinal hypoperistalsis syndrome 2,		SM00015:IQ,SM00242:MYSc,		KW-0787~Thick filament,	KW-0225~Disease variant,KW-0656~Proto-oncogene,KW-0993~Aortic aneurysm,	KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0009~Actin-binding,KW-0112~Calmodulin-binding,KW-0505~Motor protein,KW-0514~Muscle protein,KW-0518~Myosin,	KW-0488~Methylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:IQ,DOMAIN:Myosin N-terminal SH3-like,DOMAIN:Myosin motor,DOMAIN:Myosin tail,REGION:Actin-binding,REGION:C-terminal,REGION:Disordered,
MYH7B	myosin heavy chain 7B(MYH7B)	Homo sapiens			GO:0051480~regulation of cytosolic calcium ion concentration,GO:1905289~regulation of CAMKK-AMPK signaling cascade,	GO:0005737~cytoplasm,GO:0016020~membrane,GO:0016459~myosin complex,GO:0016460~myosin II complex,GO:0032982~myosin filament,GO:0097512~cardiac myofibril,	GO:0000146~microfilament motor activity,GO:0003774~motor activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0051015~actin filament binding,	IPR000048:IQ motif, EF-hand binding site,IPR001609:Myosin head, motor domain,IPR002928:Myosin tail,IPR004009:Myosin, N-terminal, SH3-like,IPR008989:Myosin S1 fragment, N-terminal,IPR014751:DNA repair protein XRCC4, C-terminal,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04814:Motor proteins,			SM00242:MYSc,		KW-0472~Membrane,KW-0787~Thick filament,		KW-0175~Coiled coil,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0009~Actin-binding,KW-0505~Motor protein,KW-0514~Muscle protein,KW-0518~Myosin,		COMPBIAS:Basic and acidic residues,DOMAIN:IQ,DOMAIN:Myosin N-terminal SH3-like,DOMAIN:Myosin motor,DOMAIN:Myosin tail,REGION:Actin-binding,REGION:Disordered,
MYL9	myosin light chain 9(MYL9)	Homo sapiens			GO:0006937~regulation of muscle contraction,GO:0030239~myofibril assembly,GO:0070527~platelet aggregation,	GO:0001725~stress fiber,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005859~muscle myosin complex,GO:0005938~cell cortex,GO:0016460~myosin II complex,GO:0030016~myofibril,GO:0030018~Z disc,	GO:0005509~calcium ion binding,GO:0008307~structural constituent of muscle,GO:0032036~myosin heavy chain binding,	IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR018247:EF-Hand 1, calcium-binding site,	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04360:Axon guidance,hsa04510:Focal adhesion,hsa04520:Adherens junction,hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa04810:Regulation of actin cytoskeleton,hsa04814:Motor proteins,hsa04921:Oxytocin signaling pathway,hsa05131:Shigellosis,hsa05132:Salmonella infection,	619365~Megacystis-microcolon-intestinal hypoperistalsis syndrome 4,		SM00054:EFh,		KW-0206~Cytoskeleton,KW-0963~Cytoplasm,		KW-0677~Repeat,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0505~Motor protein,KW-0514~Muscle protein,KW-0518~Myosin,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:EF-hand,DOMAIN:EF-hand 1,DOMAIN:EF-hand 2,DOMAIN:EF-hand 3,REGION:Disordered,
MYLK	myosin light chain kinase(MYLK)	Homo sapiens	68.Mitogen_signaling_in_growth_control,	h_biopeptidesPathway:Bioactive Peptide Induced Signaling Pathway,h_ecmPathway:Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia,h_mCalpainPathway:mCalpain and friends in Cell motility,h_myosinPathway:PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase,h_rac1Pathway:Rac 1 cell motility signaling pathway,h_rhoPathway:Rho cell motility signaling pathway,	GO:0006468~protein phosphorylation,GO:0006939~smooth muscle contraction,GO:0014820~tonic smooth muscle contraction,GO:0030335~positive regulation of cell migration,GO:0032060~bleb assembly,GO:0051928~positive regulation of calcium ion transport,GO:0060414~aorta smooth muscle tissue morphogenesis,GO:0071476~cellular hypotonic response,GO:0090303~positive regulation of wound healing,	GO:0001725~stress fiber,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0015629~actin cytoskeleton,GO:0030027~lamellipodium,GO:0032154~cleavage furrow,	GO:0003779~actin binding,GO:0004672~protein kinase activity,GO:0004687~myosin light chain kinase activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0046872~metal ion binding,	IPR000719:Protein kinase, catalytic domain,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR013098:Immunoglobulin I-set,IPR013783:Immunoglobulin-like fold,IPR017441:Protein kinase, ATP binding site,	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04371:Apelin signaling pathway,hsa04510:Focal adhesion,hsa04611:Platelet activation,hsa04810:Regulation of actin cytoskeleton,hsa04921:Oxytocin signaling pathway,hsa04971:Gastric acid secretion,	249210~Megacystis-microcolon-intestinal hypoperistalsis syndrome 1,613780~Aortic aneurysm, familial thoracic 7,		SM00060:FN3,SM00220:S_TKc,SM00408:IGc2,SM00409:IG,		KW-0206~Cytoskeleton,KW-0963~Cytoplasm,KW-0966~Cell projection,	KW-0225~Disease variant,KW-0993~Aortic aneurysm,	KW-0393~Immunoglobulin domain,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0106~Calcium,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0009~Actin-binding,KW-0112~Calmodulin-binding,KW-0418~Kinase,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	ACT_SITE:Proton acceptor,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Fibronectin type-III,DOMAIN:Ig-like,DOMAIN:Ig-like C2-type 1,DOMAIN:Ig-like C2-type 2,DOMAIN:Ig-like C2-type 3,DOMAIN:Ig-like C2-type 4,DOMAIN:Ig-like C2-type 5,DOMAIN:Ig-like C2-type 6,DOMAIN:Ig-like C2-type 7,DOMAIN:Ig-like C2-type 8,DOMAIN:Ig-like C2-type 9,DOMAIN:Protein kinase,MUTAGEN:K->A: Loss of acetylation and no kinase activity repression by NAA10/ARD1.,REGION:5 X 28 AA approximate tandem repeats,REGION:6 X 12 AA approximate tandem repeats,REGION:Actin-binding (calcium/calmodulin-insensitive),REGION:Actin-binding (calcium/calmodulin-sensitive),REGION:Calmodulin-binding,REGION:Disordered,REPEAT:1-1,REPEAT:1-2,REPEAT:1-3,REPEAT:1-4,REPEAT:1-5; truncated,REPEAT:2-1; truncated,REPEAT:2-2,REPEAT:2-3,REPEAT:2-4,REPEAT:2-5,REPEAT:2-6,
MARCKS	myristoylated alanine rich protein kinase C substrate(MARCKS)	Homo sapiens		h_calcineurinPathway:Effects of calcineurin in Keratinocyte Differentiation,	GO:0006915~apoptotic process,GO:0007005~mitochondrion organization,GO:0007015~actin filament organization,GO:0007417~central nervous system development,GO:0021915~neural tube development,GO:0022008~neurogenesis,GO:0034976~response to endoplasmic reticulum stress,GO:0051017~actin filament bundle assembly,GO:0051764~actin crosslink formation,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0005938~cell cortex,GO:0015629~actin cytoskeleton,GO:0016020~membrane,GO:0032432~actin filament bundle,GO:0042585~germinal vesicle,GO:0070062~extracellular exosome,	GO:0003779~actin binding,GO:0005080~protein kinase C binding,GO:0005516~calmodulin binding,GO:0042802~identical protein binding,GO:0051015~actin filament binding,	IPR002101:Myristoylated alanine-rich C-kinase substrate MARCKS,	hsa04666:Fc gamma R-mediated phagocytosis,hsa05206:MicroRNAs in cancer,					KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0963~Cytoplasm,				KW-0009~Actin-binding,KW-0112~Calmodulin-binding,	KW-0449~Lipoprotein,KW-0519~Myristate,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,LIPID:N-myristoyl glycine,REGION:Calmodulin-binding (PSD),REGION:Disordered,
NEBL	nebulette(NEBL)	Homo sapiens			GO:0071691~cardiac muscle thin filament assembly,	GO:0001725~stress fiber,GO:0005737~cytoplasm,GO:0030018~Z disc,GO:0031674~I band,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0005523~tropomyosin binding,GO:0008092~cytoskeletal protein binding,GO:0008307~structural constituent of muscle,GO:0031005~filamin binding,GO:0046872~metal ion binding,GO:0051015~actin filament binding,	IPR000900:Nebulin 35 residue motif,IPR001452:Src homology-3 domain,IPR001781:Zinc finger, LIM-type,				SM00132:LIM,SM00227:NEBU,SM00326:SH3,		KW-0963~Cytoplasm,		KW-0677~Repeat,KW-0728~SH3 domain,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0009~Actin-binding,	KW-0488~Methylation,	COMPBIAS:Pro residues,DOMAIN:LIM zinc-binding,DOMAIN:SH3,REGION:Disordered,REGION:Linker,REPEAT:Nebulin 1,REPEAT:Nebulin 10,REPEAT:Nebulin 11,REPEAT:Nebulin 12,REPEAT:Nebulin 13,REPEAT:Nebulin 14,REPEAT:Nebulin 15,REPEAT:Nebulin 16,REPEAT:Nebulin 17,REPEAT:Nebulin 18,REPEAT:Nebulin 19,REPEAT:Nebulin 2,REPEAT:Nebulin 20,REPEAT:Nebulin 21,REPEAT:Nebulin 22,REPEAT:Nebulin 23,REPEAT:Nebulin 3,REPEAT:Nebulin 4,REPEAT:Nebulin 5,REPEAT:Nebulin 6,REPEAT:Nebulin 7,REPEAT:Nebulin 8,REPEAT:Nebulin 9,
NDN	necdin, MAGE family member(NDN)	Homo sapiens			GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001764~neuron migration,GO:0003016~respiratory system process,GO:0007413~axonal fasciculation,GO:0007417~central nervous system development,GO:0008285~negative regulation of cell proliferation,GO:0008347~glial cell migration,GO:0009791~post-embryonic development,GO:0019233~sensory perception of pain,GO:0040008~regulation of growth,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048011~neurotrophin TRK receptor signaling pathway,GO:0048666~neuron development,GO:0048675~axon extension,GO:0048871~multicellular organismal homeostasis,GO:0071514~genetic imprinting,GO:0090312~positive regulation of protein deacetylation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0032991~macromolecular complex,GO:0042995~cell projection,GO:0043204~perikaryon,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0005515~protein binding,GO:0043015~gamma-tubulin binding,GO:1990841~promoter-specific chromatin binding,	IPR002190:MAGE protein,				SM01373:SM01373,	KW-0341~Growth regulation,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,				KW-0238~DNA-binding,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:MAGE,REGION:Disordered,
